concept,family,classification,justification,required_missing_capability,closest_supported_substitute,composition_constraint_needed,composition_constraint_note,priority_unlock
run_beyond_last_line,Off-ball attacking movement and behavior,supported,multi_line_model last rank + relative_position_to_line going from in-front to beyond + velocity; same pattern as controlled_line_break minus ball.,,multi_line_model + relative_position_to_line + velocity,False,,LOW
separation_creation,Off-ball attacking movement and behavior,partial_with_typed_gap,"creating separation from a marker measurable as pairwise_distance(attacker,nearest defender) increasing across anchor; attributing 'marker' identity needs marking.",marking (marker identity),pairwise_distance + change_across_anchor + velocity,False,,MED
space_creating_run_candidate,Off-ball attacking movement and behavior,missing_primitive,run that vacates/creates space for others; needs off_ball_run typing + space-value (time_to_arrival) to quantify created space.,off_ball_run + time_to_arrival,velocity + change_across_anchor on local_number_relation,False,,MED
teammate_accessibility_gain,Off-ball attacking movement and behavior,partial_with_typed_gap,"increase in whether a teammate is reachable; geometric_progressive_corridor + change_across_anchor express connection-gain, but true reachability/lane-openness needs time_to_arrival.",time_to_arrival (reachability),geometric_progressive_corridor + change_across_anchor,False,,MED
third_player_run_candidate,Off-ball attacking movement and behavior,missing_primitive,third-man run is an explicitly named tactical run (calibration lists it as missing_primitive); needs off_ball_run typing tied to a two-pass combination.,off_ball_run (third-man run typing),pass_chain_episode + support_arrival + velocity,False,,MED
underlap_candidate,Off-ball attacking movement and behavior,missing_primitive,underlap = named inside run beyond carrier; like overlap needs off_ball_run typing.,off_ball_run (run typing),"pairwise_distance(runner,carrier) + velocity + lane_occupancy",False,,MED
vacate_region_episode,Off-ball attacking movement and behavior,supported,"player leaving a region: pairwise_distance(player,region) crossing from inside to outside + velocity away; mirror of occupy_region_episode.",,"pairwise_distance(player,region) + velocity",False,,LOW
wall_pass_support_candidate,Off-ball attacking movement and behavior,supported,wall pass (give-and-go) is a one-touch relay combination; one_touch_relay_episode + pass_chain_episode + support_arrival express the layoff-and-return.,,one_touch_relay_episode + pass_chain_episode + support_arrival_relation,False,,LOW
escape_option_set,"Support, options, numerical relations, and local structure",partial_with_typed_gap,"set of safe outlet passes for a pressured carrier; passing options via geometric_progressive_corridor_from_anchor_set + pressure_on_carrier gate, but 'open/reachable' option requires time_to_arrival.",time_to_arrival (lane openness),geometric_progressive_corridor_from_anchor_set + pressure_on_carrier + support_arrival,False,,MED
free_player_candidate,"Support, options, numerical relations, and local structure",partial_with_typed_gap,"unmarked/free player: pairwise_distance to nearest defender large + local_number_relation give a proxy, but 'free' (unmarked) properly needs marking primitive.",marking,"pairwise_distance(player,nearest defender) + local_number_relation",False,,MED
local_attacker_count,"Support, options, numerical relations, and local structure",supported,local_number_relation directly counts attackers around a point; count_at_least operator.,,local_number_relation,False,,LOW
local_defender_count,"Support, options, numerical relations, and local structure",supported,local_number_relation counts defenders around a point.,,local_number_relation,False,,LOW
local_number_balance,"Support, options, numerical relations, and local structure",supported,local_number_relation yields attacker-vs-defender counts; difference via eq/gt operators gives balance.,,local_number_relation + gt/eq,False,,LOW
local_reachability_balance,"Support, options, numerical relations, and local structure",missing_primitive,balance weighted by who can reach a zone first needs time_to_arrival/reachability; count-only local_number is not reachability.,time_to_arrival (reachability),local_number_relation (count proxy),False,,HIGH
numerical_inferiority_episode,"Support, options, numerical relations, and local structure",supported,local_number_relation defenders>attackers + persists_for over interval.,,local_number_relation + gt + persists_for,False,,LOW
numerical_superiority_episode,"Support, options, numerical relations, and local structure",supported,local_number_relation attackers>defenders + persists_for.,,local_number_relation + gt + persists_for,False,,LOW
one_v_one_isolation,"Support, options, numerical relations, and local structure",supported,local_number_relation = 1 attacker vs 1 defender in a region with no other defenders nearby (count_at_least/eq); pairwise_distance confirms isolation.,,local_number_relation (1v1) + pairwise_distance,False,,LOW
overload_relation,"Support, options, numerical relations, and local structure",supported,calibration: overload SUPPORTED via local_number_relation (attacker majority around a point).,,local_number_relation,False,,LOW
passing_option_set,"Support, options, numerical relations, and local structure",partial_with_typed_gap,"geometric_progressive_corridor_from_anchor_set enumerates clear connections to teammates (the option set), but classifying an option as actually open/uninterceptable needs time_to_arrival.",time_to_arrival (lane interception margin),geometric_progressive_corridor_from_anchor_set + support_arrival,False,,HIGH
progressive_option_set,"Support, options, numerical relations, and local structure",partial_with_typed_gap,forward-progressing options via geometric_progressive_corridor_from_anchor_set (forward filter); openness clause needs time_to_arrival.,time_to_arrival (lane openness),geometric_progressive_corridor_from_anchor_set (forward),False,,MED
qualitative_superiority_proxy,"Support, options, numerical relations, and local structure",role_or_reference_gap,qualitative superiority = a better/skilled player isolated; requires player ROLE/quality taxonomy which is a known gap (no role/lineup model).,player-role/quality taxonomy,"one_v_one_isolation (1v1 only, no quality)",False,,LOW
receiver_isolation_candidate,"Support, options, numerical relations, and local structure",supported,receiver alone vs one defender: local_number_relation 1v1 + pairwise_distance to other defenders large.,,local_number_relation + pairwise_distance,False,,LOW
receiver_support_state,"Support, options, numerical relations, and local structure",supported,support_arrival_relation (incl BEHIND_BALL_OUTLET) + local_number_relation describe presence/absence of support around the receiver.,,support_arrival_relation + local_number_relation,False,,LOW
separation_from_marker,"Support, options, numerical relations, and local structure",partial_with_typed_gap,"distance from marker via pairwise_distance(player,nearest defender), but 'marker' identity (assignment) needs marking primitive.",marking (marker identity),"pairwise_distance(player,nearest defender)",False,,MED
spare_player_candidate,"Support, options, numerical relations, and local structure",supported,calibration lists 'spare player' SUPPORTED: local_number_relation surplus attacker with no defender accounted (pairwise_distance confirms unmarked-by-proximity).,,local_number_relation + pairwise_distance,False,,LOW
